"n","n_mod_13","n_mod_64","S_n_cyclic","T_n_2_s","T_bits","T_bits_2_T_n","n__6_bits","real_n","n_x","n_y","n_z","f_n","real_f_n","p_n","real_p_n","log(p_n)","a","b","c","test_prime",,"state","p_n","p_n=floor(a*n+b*f_n+c*p₀)+S_n+T_n","symbol_x","symbol_y","symbol_z","label_x","label_y","label_z","zeta_alpha","zeta_beta","zeta_gamma","S₀","S₁","S₂","R","G","B","H","S","V","LightFrec","SoundFreq","Energy","C₀","C₁","C₂","Midi₀","Midi₁","Midi_param_n"
89,11,25,10,1,"1","1","1011001",0.977777777777778,1011001.97777778,9.67137354099912E-07,9.67137354099912E-07,1.77997941600471E+018,1.00000000000000000000,499,0.94921875,2.69810054562339,1,0.00000000000000022416,0,499,5,"success",499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,12,26,5,9,"1001","9","1011010",0.978021978021978,1011010.97802198,9.67370285073915E-07,9.67370285073915E-07,2.88006719437082E+018,1.00000000000000000000,503,0.949612403100775,2.70156798505593,0,0.00000000000000016527,1,503,9,"success",503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0,27,0,0,"0","0","1011011",0.978260869565217,1011011.97826087,9.67605617539774E-07,9.67605617539774E-07,4.66004661037553E+018,1.00000000000000000000,509,0.950191570881226,2.70671778233676,1,0.00000000000000008970,0,509,2,"success",509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,28,8,9,"1001","9","1011100",0.978494623655914,1011100.97849462,9.67751633583368E-07,9.67751633583368E-07,7.54011380474635E+018,1.00000000000000000000,521,0.951310861423221,2.71683772329952,0,0.00000000000000006512,1,521,1,"success",521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2,29,3,1,"1","1","1011101",0.978723404255319,1011101.9787234,9.67976944809301E-07,9.67976944809301E-07,1.22001604151219E+019,1.00000000000000000000,523,0.951492537313433,2.71850168886727,1,0.00000000000000003492,0,523,3,"success",523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3,30,11,8,"1000","8","1011110",0.978947368421053,1011110.97894737,9.68189831585253E-07,9.68189831585253E-07,1.97402742198682E+019,1.00000000000000000000,541,0.953068592057762,2.73319726510657,0,0.00000000000000002578,1,541,8,"success",541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4,31,6,2,"10","2","1011111",0.979166666666667,1011111.97916667,9.68405762014284E-07,9.68405762014284E-07,3.19404346349901E+019,1.00000000000000000000,547,0.953571428571429,2.73798732633343,1,0.00000000000000001390,0,547,1,"success",547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,5,32,1,4,"100","4","1100000",0.979381443298969,1100000.97938144,8.90345973918767E-07,8.90345973918767E-07,5.16807088548583E+019,1.00000000000000000000,557,0.954385964912281,2.74585519517373,0,0.00000000000000001043,1,557,11,"success",557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,6,33,9,15,"1111","F","1100001",0.979591836734694,1100001.97959184,8.90536430760041E-07,8.90536430760041E-07,8.36211434898484E+019,1.00000000000000000000,563,0.954861111111111,2.75050839485135,1,0.00000000000000000529,0,563,4,"success",563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,7,34,4,3,"11","3","1100010",0.97979797979798,1100010.97979798,8.90716545372958E-07,8.90716545372958E-07,1.35301852344707E+020,1.00000000000000000000,569,0.9553264604811,2.75511226639507,0,0.00000000000000000406,1,569,10,"success",569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,8,35,12,4,"100","4","1100011",0.98,1100011.98,8.90899388204845E-07,8.90899388204845E-07,2.18922995834555E+020,1.00000000000000000000,571,0.955479452054795,2.75663610824585,1,0.00000000000000000208,0,571,12,"success",571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,9,36,7,14,"1110","E","1100100",0.98019801980198,1100100.98019802,8.91007314279043E-07,8.91007314279043E-07,3.54224848179262E+020,1.00000000000000000000,577,0.95593220338983,2.76117581315573,0,0.00000000000000000153,1,577,5,"success",577,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,10,37,2,8,"1000","8","1100101",0.980392156862745,1100101.98039216,8.91182976066693E-07,8.91182976066693E-07,5.73147844013817E+020,1.00000000000000000000,587,0.956666666666667,2.76863810124761,1,0.00000000000000000083,0,587,2,"success",587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,11,38,10,1,"1","1","1100110",0.980582524271845,1100110.98058252,8.91348728973337E-07,8.91348728973337E-07,9.27372692193079E+020,1.00000000000000000000,593,0.957095709570957,2.77305469336426,0,0.00000000000000000061,1,593,8,"success",593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,12,39,5,9,"1001","9","1100111",0.980769230769231,1100111.98076923,8.91517634489762E-07,8.91517634489762E-07,1.5005205362069E+021,1.00000000000000000000,599,0.957516339869281,2.77742682238931,1,0.00000000000000000032,0,599,1,"success",599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0,40,0,0,"0","0","1101000",0.980952380952381,1101000.98095238,8.90964129844683E-07,8.90964129844683E-07,2.42789322839998E+021,1.00000000000000000000,601,0.957654723127036,2.77887447200274,0,0.00000000000000000024,1,601,3,"success",601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,41,8,9,"1001","9","1101001",0.981132075471698,1101001.98113208,8.91126530456263E-07,8.91126530456263E-07,3.92841376460687E+021,1.00000000000000000000,607,0.958064516129032,2.78318869107526,1,0.00000000000000000012,0,607,9,"success",607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2,42,3,1,"1","1","1101010",0.981308411214953,1101010.98130841,8.91279403997219E-07,8.91279403997219E-07,6.35630699300685E+021,1.00000000000000000000,613,0.958466453674121,2.78746047451841,0,0.00000000000000000009,1,613,2,"success",613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,3,43,11,8,"1000","8","1101011",0.981481481481482,1101011.98148148,8.91435786339796E-07,8.91435786339796E-07,1.02847207576137E+022,1.00000000000000000000,617,0.958730158730159,2.79028516403324,1,0.00000000000000000005,0,617,6,"success",617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,4,44,6,2,"10","2","1101100",0.981651376146789,1101100.98165138,8.91518028323394E-07,8.91518028323394E-07,1.66410277506206E+022,1.00000000000000000000,619,0.958860759493671,2.79169064902012,0,0.00000000000000000004,1,619,8,"success",619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,45,1,4,"100","4","1101101",0.981818181818182,1101101.98181818,8.91668708285282E-07,8.91668708285282E-07,2.69257485082343E+022,1.00000000000000000000,631,0.959627329192547,2.80002935924413,1,0.00000000000000000002,0,631,7,"success",631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,6,46,9,15,"1111","F","1101110",0.981981981981982,1101110.98198198,8.9181017903793E-07,8.9181017903793E-07,4.35667762588549E+022,1.00000000000000000000,641,0.960244648318043,2.80685802951882,0,0.00000000000000000001,1,641,4,"success",641,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,7,47,4,3,"11","3","1101111",0.982142857142857,1101111.98214286,8.91955471442173E-07,8.91955471442173E-07,7.04925247670891E+022,1.00000000000000000000,643,0.960365853658537,2.80821097292422,1,0.00000000000000000001,0,643,6,"success",643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,8,48,12,4,"100","4","1110000",0.982300884955752,1110000.98230089,8.84954969066399E-07,8.84954969066399E-07,1.14059301025944E+023,1.00000000000000000000,647,0.960606060606061,2.8109042806687,0,0.00000000000000000001,1,647,10,"success",647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,9,49,7,14,"1110","E","1110001",0.982456140350877,1110001.98245614,8.85094041162847E-07,8.85094041162847E-07,1.84551825793033E+023,1.00000000000000000000,653,0.960960960960961,2.81491318127507,1,0.00000000000000000000,0,653,3,"success",653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,10,50,2,8,"1000","8","1110010",0.982608695652174,1110010.9826087,8.85224300522589E-07,8.85224300522589E-07,2.98611126818977E+023,1.00000000000000000000,659,0.961309523809524,2.81888541459401,0,0.00000000000000000000,1,659,9,"success",659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,11,51,10,1,"1","1","1110011",0.982758620689655,1110011.98275862,8.85358569055522E-07,8.85358569055522E-07,4.8316295261201E+023,1.00000000000000000000,661,0.961424332344214,2.82020145948564,1,0.00000000000000000000,0,661,11,"success",661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,12,52,5,9,"1001","9","1110100",0.982905982905983,1110100.98290598,8.85420333862751E-07,8.85420333862751E-07,7.81774079430987E+023,1.00000000000000000000,673,0.962099125364431,2.82801506422398,0,0.00000000000000000000,1,673,10,"success",673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,0,53,0,0,"0","0","1110101",0.983050847457627,1110101.98305085,8.85550032760007E-07,8.85550032760007E-07,1.264937032043E+024,1.00000000000000000000,677,0.96231884057971,2.83058866868514,1,0.00000000000000000000,0,677,1,"success",677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1,54,8,9,"1001","9","1110110",0.983193277310924,1110110.98319328,8.85671155583679E-07,8.85671155583679E-07,2.04671111147399E+024,1.00000000000000000000,683,0.96264367816092,2.83442070368153,0,0.00000000000000000000,1,683,7,"success",683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2,55,3,1,"1","1","1110111",0.983333333333333,1110111.98333333,8.85796521519098E-07,8.85796521519098E-07,3.31164814351698E+024,1.00000000000000000000,691,0.963068181818182,2.8394780473742,1,0.00000000000000000000,0,691,2,"success",691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,3,56,11,8,"1000","8","1111000",0.983471074380165,1111000.98347107,8.85211704590512E-07,8.85211704590512E-07,5.35835925499097E+024,1.00000000000000000000,701,0.963585434173669,2.84571801796666,0,0.00000000000000000000,1,701,12,"success",701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,4,57,6,2,"10","2","1111001",0.983606557377049,1111001.98360656,8.85332854387933E-07,8.85332854387933E-07,8.67000739850795E+024,1.00000000000000000000,709,0.96398891966759,2.85064623518307,1,0.00000000000000000000,0,709,7,"success",709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,5,58,1,4,"100","4","1111010",0.983739837398374,1111010.98373984,8.85445645268917E-07,8.85445645268917E-07,1.40283666534989E+025,1.00000000000000000000,719,0.96448087431694,2.85672889038288,0,0.00000000000000000000,1,719,4,"success",719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6,59,9,15,"1111","F","1111011",0.983870967741935,1111011.98387097,8.85562876031229E-07,8.85562876031229E-07,2.26983740520069E+025,1.00000000000000000000,727,0.964864864864865,2.86153441085904,1,0.00000000000000000000,0,727,12,"success",727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,7,60,4,3,"11","3","1111100",0.984,1111100.984,8.8560807178621E-07,8.8560807178621E-07,3.67267407055058E+025,1.00000000000000000000,733,0.96514745308311,2.86510397464113,0,0.00000000000000000000,1,733,5,"success",733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,8,61,12,4,"100","4","1111101",0.984126984126984,1111101.98412698,8.85721561284253E-07,8.85721561284253E-07,5.94251147575127E+025,1.00000000000000000000,739,0.965425531914894,2.86864443839483,1,0.00000000000000000000,0,739,11,"success",739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,9,62,7,14,"1110","E","1111110",0.984251968503937,1111110.98425197,8.85826872791257E-07,8.85826872791257E-07,9.61518554630184E+025,1.00000000000000000000,743,0.965608465608466,2.87098881376057,0,0.00000000000000000000,1,743,2,"success",743,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,10,63,2,8,"1000","8","1111111",0.984375,1111111.984375,8.85936803709043E-07,8.85936803709043E-07,1.55576970220531E+026,1.00000000000000000000,751,0.965968586387434,2.87563993700417,1,0.00000000000000000000,0,751,10,"success",751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,11,0,10,1,"1","1","10000000",0.984496124031008,10000000.9844961,9.84496027107755E-08,9.84496027107755E-08,2.5172882568355E+026,1.00000000000000000000,757,0.966233766233766,2.87909587950007,0,0.00000000000000000000,1,757,3,"success",757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,12,1,5,9,"1001","9","10000001",0.984615384615385,10000001.9846154,9.84615189207139E-08,9.84615189207139E-08,4.07305795904081E+026,1.00000000000000000000,761,0.96640826873385,2.88138465677057,1,0.00000000000000000000,0,761,7,"success",761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0,2,0,0,"0","0","10000010",0.984732824427481,10000010.9847328,9.84731742725971E-08,9.84731742725971E-08,6.5903462158763E+026,1.00000000000000000000,769,0.966751918158568,2.88592633980143,0,0.00000000000000000000,1,769,2,"success",769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,3,8,9,"1001","9","10000011",0.984848484848485,10000011.9848485,9.84847304523913E-08,9.84847304523913E-08,1.06634041749171E+027,1.00000000000000000000,773,0.966921119592875,2.88817949391832,1,0.00000000000000000000,1,773,6,"success",773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2,4,3,1,"1","1","10000100",0.984962406015038,10000100.9849624,9.84952459476328E-08,9.84952459476328E-08,1.72537503907934E+027,1.00000000000000000000,787,0.9675,2.89597473235906,0,0.00000000000000000000,0,787,7,"success",787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,3,5,11,8,"1000","8","10000101",0.985074626865672,10000101.9850746,9.85064580677194E-08,9.85064580677194E-08,2.79171545657105E+027,1.00000000000000000000,797,0.967901234567901,2.90145832139611,1,0.00000000000000000000,1,797,4,"success",797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,4,6,6,2,"10","2","10000110",0.985185185185185,10000110.9851852,9.85174251210514E-08,9.85174251210514E-08,4.51709049565039E+027,1.00000000000000000000,809,0.968369829683698,2.90794852161227,0,0.00000000000000000000,0,809,3,"success",809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,5,7,1,4,"100","4","10000111",0.985294117647059,10000111.9852941,9.85283083925465E-08,9.85283083925465E-08,7.30880595222145E+027,1.00000000000000000000,811,0.968446601941748,2.90902085421116,1,0.00000000000000000000,1,811,5,"success",811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,6,8,9,15,"1111","F","10001000",0.985401459854015,10001000.9854015,9.85302832478882E-08,9.85302832478882E-08,1.18258964478718E+028,1.00000000000000000000,821,0.968824940047962,2.91434315711944,0,0.00000000000000000000,0,821,2,"success",821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,7,9,4,3,"11","3","10001001",0.985507246376812,10001001.9855072,9.85408509872251E-08,9.85408509872251E-08,1.91347024000933E+028,1.00000000000000000000,823,0.968899521531101,2.91539983521227,1,0.00000000000000000000,1,823,4,"success",823,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,8,10,12,4,"100","4","10001010",0.985611510791367,10001010.9856115,9.85511876958609E-08,9.85511876958609E-08,3.09605988479651E+028,1.00000000000000000000,827,0.969047619047619,2.91750550955255,0,0.00000000000000000000,0,827,8,"success",827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,9,11,7,14,"1110","E","10001011",0.985714285714286,10001011.9857143,9.85614542930562E-08,9.85614542930562E-08,5.00953012480584E+028,1.00000000000000000000,829,0.969121140142518,2.91855453055027,1,0.00000000000000000000,1,829,10,"success",829,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,10,12,2,8,"1000","8","10001100",0.985815602836879,10001100.9858156,9.8570707788577E-08,9.8570707788577E-08,8.10559000960235E+028,1.00000000000000000000,839,0.969483568075117,2.9237619608287,0,0.00000000000000000000,0,839,7,"success",839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,11,13,10,1,"1","1","10001101",0.985915492957746,10001101.9859155,9.85806858430408E-08,9.85806858430408E-08,1.31151201344082E+029,1.00000000000000000000,853,0.969976905311778,2.93094903116752,1,0.00000000000000000000,1,853,8,"success",853,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,12,14,5,9,"1001","9","10001110",0.986013986013986,10001110.986014,9.859044534081E-08,9.859044534081E-08,2.12207101440105E+029,1.00000000000000000000,857,0.970114942528736,2.9329808219232,0,0.00000000000000000000,0,857,12,"success",857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,0,15,0,0,"0","0","10001111",0.986111111111111,10001111.9861111,9.86001469117192E-08,9.86001469117192E-08,3.43358302784187E+029,1.00000000000000000000,859,0.970183486238532,2.93399316383124,1,0.00000000000000000000,1,859,1,"success",859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1,16,8,9,"1001","9","10010000",0.986206896551724,10010000.9862069,9.85221577810682E-08,9.85221577810682E-08,5.55565404224293E+029,1.00000000000000000000,863,0.970319634703196,2.93601079571521,0,0.00000000000000000000,0,863,5,"success",863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2,17,3,1,"1","1","10010001",0.986301369863014,10010001.9863014,9.85315858291298E-08,9.85315858291298E-08,8.9892370700848E+029,1.00000000000000000000,877,0.970786516853933,2.94299959336604,1,0.00000000000000000000,1,877,6,"success",877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,3,18,11,8,"1000","8","10010010",0.986394557823129,10010010.9863946,9.85408067147799E-08,9.85408067147799E-08,1.45448911123277E+030,1.00000000000000000000,881,0.970917225950783,2.94497590841205,0,0.00000000000000000000,0,881,10,"success",881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,4,19,6,2,"10","2","10010011",0.986486486486487,10010011.9864865,9.85499805413063E-08,9.85499805413063E-08,2.35341281824125E+030,1.00000000000000000000,883,0.970982142857143,2.94596070357757,1,0.00000000000000000000,1,883,12,"success",883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,5,20,1,4,"100","4","10010100",0.986577181208054,10010100.9865772,9.85581646509842E-08,9.85581646509842E-08,3.80790192947403E+030,1.00000000000000000000,887,0.971111111111111,2.94792361983173,0,0.00000000000000000000,0,887,3,"success",887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,6,21,9,15,"1111","F","10010101",0.986666666666667,10010101.9866667,9.8567094319408E-08,9.8567094319408E-08,6.16131474771528E+030,1.00000000000000000000,907,0.971739130434783,2.95760728706009,1,0.00000000000000000000,1,907,10,"success",907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,7,22,4,3,"11","3","10010110",0.986754966887417,10010110.986755,9.85758268008274E-08,9.85758268008274E-08,9.96921667718931E+030,1.00000000000000000000,911,0.971861471861472,2.959518376973,0,0.00000000000000000000,0,911,1,"success",911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,8,23,12,4,"100","4","10010111",0.986842105263158,10010111.9868421,9.85845219873986E-08,9.85845219873986E-08,1.61305314249046E+031,1.00000000000000000000,919,0.972103004291845,2.96331551138611,1,0.00000000000000000000,1,919,9,"success",919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,9,24,7,14,"1110","E","10011000",0.986928104575163,10011000.9869281,9.85843579342214E-08,9.85843579342214E-08,2.60997481020939E+031,1.00000000000000000000,929,0.9723991507431,2.96801571399364,0,0.00000000000000000000,0,929,6,"success",929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,10,25,2,8,"1000","8","10011001",0.987012987012987,10011001.987013,9.85928270010748E-08,9.85928270010748E-08,4.22302795269985E+031,1.00000000000000000000,937,0.972631578947368,2.97173959088778,1,0.00000000000000000000,1,937,1,"success",937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,11,26,10,1,"1","1","10011010",0.987096774193548,10011010.9870968,9.860110786671E-08,9.860110786671E-08,6.83300276290924E+031,1.00000000000000000000,941,0.972746331236897,2.97358962342726,0,0.00000000000000000000,0,941,5,"success",941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,12,27,5,9,"1001","9","10011011",0.987179487179487,10011011.9871795,9.86093602169001E-08,9.86093602169001E-08,1.10560307156091E+032,1.00000000000000000000,947,0.972916666666667,2.97634997900327,1,0.00000000000000000000,1,947,11,"success",947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0,28,0,0,"0","0","10011100",0.987261146496815,10011100.9872611,9.86166404427523E-08,9.86166404427523E-08,1.78890334785183E+032,1.00000000000000000000,953,0.973084886128364,2.97909290063833,0,0.00000000000000000000,0,953,4,"success",953,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,29,8,9,"1001","9","10011101",0.987341772151899,10011101.9873418,9.86246842156151E-08,9.86246842156151E-08,2.89450641941274E+032,1.00000000000000000000,967,0.973469387755102,2.985426474083,1,0.00000000000000000000,1,967,5,"success",967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2,30,3,1,"1","1","10011110",0.987421383647799,10011110.9874214,9.86325478649133E-08,9.86325478649133E-08,4.68340976726457E+032,1.00000000000000000000,971,0.973577235772358,2.987219229908,0,0.00000000000000000000,0,971,9,"success",971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,3,31,11,8,"1000","8","10011111",0.9875,10011111.9875,9.86403909209092E-08,9.86403909209092E-08,7.57791618667731E+032,1.00000000000000000000,977,0.973737373737374,2.98989456371877,1,0.00000000000000000000,1,977,2,"success",977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,4,32,6,2,"10","2","10100000",0.987577639751553,10100000.9875776,9.77799547709164E-08,9.77799547709164E-08,1.22613259539419E+033,1.00000000000000000000,983,0.973895582329317,2.99255351783214,0,0.00000000000000000000,0,983,8,"success",983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,5,33,1,4,"100","4","10100001",0.987654320987654,10100001.9876543,9.77875372890924E-08,9.77875372890924E-08,1.98392421406192E+033,1.00000000000000000000,991,0.97410358565737,2.99607365448528,1,0.00000000000000000000,1,991,3,"success",991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,6,34,9,15,"1111","F","10100010",0.987730061349693,10100010.9877301,9.77949491886327E-08,9.77949491886327E-08,3.21005680945611E+033,1.00000000000000000000,997,0.974257425742574,2.99869515831166,0,0.00000000000000000000,0,997,9,"success",997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,7,35,4,3,"11","3","10100011",0.98780487804878,10100011.9878049,9.78023470904284E-08,9.78023470904284E-08,5.19398102351803E+033,1.00000000000000000000,1009,0.974559686888454,3.00389116623691,1,0.00000000000000000000,1,1009,8,"success",1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,8,36,12,4,"100","4","10100100",0.987878787878788,10100100.9878788,9.780880300745E-08,9.780880300745E-08,8.40403783297414E+033,1.00000000000000000000,1013,0.974658869395711,3.00560944536028,0,0.00000000000000000000,0,1013,12,"success",1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,9,37,7,14,"1110","E","10100101",0.987951807228916,10100101.9879518,9.78160228884245E-08,9.78160228884245E-08,1.35980188564922E+034,1.00000000000000000000,1019,0.974806201550387,3.00817418400643,1,0.00000000000000000000,1,1019,5,"success",1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,10,38,2,8,"1000","8","10100110",0.988023952095808,10100110.988024,9.78230787035254E-08,9.78230787035254E-08,2.20020566894663E+034,1.00000000000000000000,1021,0.974854932301741,3.00902574208691,0,0.00000000000000000000,0,1021,7,"success",1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,11,39,10,1,"1","1","10100111",0.988095238095238,10100111.9880952,9.78301269589765E-08,9.78301269589765E-08,3.56000755459585E+034,1.00000000000000000000,1031,0.975095785440613,3.01325866528352,1,0.00000000000000000000,1,1031,4,"success",1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,12,40,5,9,"1001","9","10101000",0.988165680473373,10101000.9881657,9.78284906249496E-08,9.78284906249496E-08,5.76021322354248E+034,1.00000000000000000000,1033,0.975143403441682,3.01410032151962,0,0.00000000000000000000,0,1033,6,"success",1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,0,41,0,0,"0","0","10101001",0.988235294117647,10101001.9882353,9.78353726955654E-08,9.78353726955654E-08,9.32022077813832E+034,1.00000000000000000000,1039,0.975285171102662,3.01661554755718,1,0.00000000000000000000,1,1039,12,"success",1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1,42,8,9,"1001","9","10101010",0.988304093567252,10101010.9883041,9.78420966685022E-08,9.78420966685022E-08,1.50804340016808E+035,1.00000000000000000000,1049,0.975517890772128,3.02077548819356,0,0.00000000000000000000,0,1049,9,"success",1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2,43,3,1,"1","1","10101011",0.988372093023256,10101011.9883721,9.78488189263643E-08,9.78488189263643E-08,2.44006547798191E+035,1.00000000000000000000,1051,0.975563909774436,3.02160271602824,1,0.00000000000000000000,1,1051,11,"success",1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,3,44,11,8,"1000","8","10101100",0.988439306358382,10101100.9884393,9.78546108478322E-08,9.78546108478322E-08,3.94810887814999E+035,1.00000000000000000000,1061,0.975791433891992,3.02571538390134,0,0.00000000000000000000,0,1061,8,"success",1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,4,45,6,2,"10","2","10101101",0.988505747126437,10101101.9885057,9.78611787358724E-08,9.78611787358724E-08,6.38817435613191E+035,1.00000000000000000000,1063,0.975836431226766,3.0265332645233,1,0.00000000000000000000,1,1063,10,"success",1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,5,46,1,4,"100","4","10101110",0.988571428571428,10101110.9885714,9.78675939399058E-08,9.78675939399058E-08,1.03362832342819E+036,1.00000000000000000000,1069,0.975970425138632,3.02897770520878,0,0.00000000000000000000,0,1069,3,"success",1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
